dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.936914,14.317749,5.678095,6.362205,1.757188,-3.300414,0.770960
0.020000,5.028522,14.407031,5.806014,6.395952,1.687385,-3.490147,0.773999
0.020000,5.120210,14.496864,5.934376,6.418080,1.106398,-29.049375,0.776209
0.020000,5.211748,14.586870,6.062751,6.418745,0.033238,-53.657977,0.777563
0.020000,5.302914,14.676674,6.190720,6.398463,-1.014091,-52.366492,0.778044
0.020000,5.393368,14.765785,6.317695,6.348770,-2.484666,-73.528749,0.777645
0.020000,5.482780,14.853723,6.443105,6.270463,-3.915349,-71.534149,0.776373
0.020000,5.570952,14.940146,6.566568,6.173174,-4.864429,-47.453956,0.774243
0.020000,5.657686,15.024728,6.687717,6.057420,-5.787703,-46.163717,0.771281
0.020000,5.742909,15.107278,6.806365,5.932415,-6.250249,-23.127284,0.767517
0.020000,5.826678,15.187748,6.922523,5.807911,-6.225223,1.251302,0.762974
0.020000,5.909057,15.266108,7.036218,5.684733,-6.158910,3.315621,0.757677
0.020000,5.990102,15.342329,7.147474,5.562819,-6.095681,3.161449,0.751646
0.020000,6.069863,15.416388,7.256317,5.442123,-6.034773,3.045424,0.744903
0.020000,6.148385,15.488266,7.362769,5.322615,-5.975443,2.966498,0.737469
0.020000,6.225704,15.557948,7.466854,5.204275,-5.916973,2.923506,0.729365
0.020000,6.301854,15.625421,7.568596,5.087102,-5.858670,2.915106,0.720609
0.020000,6.376863,15.690678,7.668019,4.971104,-5.799874,2.939801,0.711224
0.020000,6.450753,15.753715,7.765145,4.856305,-5.739958,2.995828,0.701229
0.020000,6.523546,15.814532,7.859999,4.742738,-5.678335,3.081144,0.690646
0.020000,6.595256,15.873133,7.952608,4.630449,-5.614467,3.193380,0.679497
0.020000,6.665896,15.929527,8.042998,4.519492,-5.547871,3.329795,0.667806
0.020000,6.735476,15.983726,8.131197,4.409929,-5.478126,3.487254,0.655596
0.020000,6.804005,16.035747,8.217233,4.301831,-5.404882,3.662196,0.642894
0.020000,6.871486,16.085611,8.301139,4.195274,-5.327869,3.850650,0.629726
0.020000,6.937925,16.133342,8.382946,4.090336,-5.246904,4.048252,0.616120
0.020000,7.003323,16.178970,8.462688,3.987098,-5.161899,4.250294,0.602105
0.020000,7.067682,16.222526,8.540400,3.885641,-5.072863,4.451789,0.587713
0.020000,7.131002,16.264049,8.616121,3.786043,-4.979912,4.647559,0.572977
0.020000,7.193286,16.303577,8.689889,3.688377,-4.883264,4.832369,0.557928
0.020000,7.254531,16.341154,8.761743,3.592712,-4.783243,5.001045,0.542604
0.020000,7.314739,16.376826,8.831725,3.499107,-4.680271,5.148627,0.527038
0.020000,7.373910,16.410642,8.899877,3.407610,-4.574860,5.270528,0.511268
0.020000,7.432044,16.442654,8.966243,3.318258,-4.467607,5.362679,0.495332
0.020000,7.489142,16.472915,9.030864,3.231074,-4.359173,5.421680,0.479266
0.020000,7.545206,16.501480,9.093785,3.146069,-4.250275,5.444909,0.463109
0.020000,7.600236,16.528406,9.155050,3.063235,-4.141662,5.430631,0.446899
0.020000,7.654235,16.553750,9.214701,2.982553,-4.034101,5.378046,0.430672
0.020000,7.707206,16.577571,9.272781,2.903986,-3.928355,5.287325,0.414466
