dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.334218,15.967405,3.904939,5.920738,6.218914,3.299445,0.770960
0.020000,3.420820,16.051810,4.025870,6.046511,6.288694,3.488993,0.773999
0.020000,3.508878,16.138086,4.149149,6.163965,5.872662,-20.801581,0.776209
0.020000,3.598195,16.225908,4.274409,6.263001,4.951805,-46.042875,0.777563
0.020000,3.688572,16.314936,4.401271,6.343103,4.005112,-47.334638,0.778044
0.020000,3.779680,16.404691,4.529164,6.394646,2.577136,-71.398779,0.777645
0.020000,3.871179,16.494680,4.657500,6.416831,1.109268,-73.393387,0.776373
0.020000,3.962850,16.584532,4.785863,6.418118,0.064325,-52.247191,0.774243
0.020000,4.054461,16.673869,4.913823,6.397989,-1.006419,-53.537170,0.771281
0.020000,4.145903,16.762443,5.041129,6.365322,-1.633360,-31.347080,0.767517
0.020000,4.237207,16.850151,5.167735,6.330304,-1.750878,-5.875861,0.762974
0.020000,4.328415,16.936907,5.293614,6.293960,-1.817210,-3.316610,0.757677
0.020000,4.419565,17.022630,5.418741,6.256351,-1.880455,-3.162278,0.751646
0.020000,4.510692,17.107241,5.543092,6.217524,-1.941377,-3.046107,0.744903
0.020000,4.601826,17.190663,5.666642,6.177509,-2.000718,-2.967045,0.737469
0.020000,4.692993,17.272823,5.789368,6.136325,-2.059197,-2.923912,0.729365
0.020000,4.784216,17.353650,5.911248,6.093975,-2.117505,-2.915400,0.720609
0.020000,4.875512,17.433075,6.032257,6.050449,-2.176304,-2.939970,0.711224
0.020000,4.966893,17.511030,6.152371,6.005725,-2.236221,-2.995872,0.701229
0.020000,5.058365,17.587452,6.271567,5.959768,-2.297843,-3.081070,0.690646
0.020000,5.149932,17.662277,6.389817,5.912534,-2.361707,-3.193191,0.679497
0.020000,5.241587,17.735446,6.507097,5.863968,-2.428297,-3.329497,0.667806
0.020000,5.333323,17.806900,6.623377,5.814007,-2.498033,-3.486839,0.655596
0.020000,5.425122,17.876584,6.738629,5.762582,-2.571267,-3.661667,0.642894
0.020000,5.516963,17.944445,6.852821,5.709616,-2.648267,-3.850012,0.629726
0.020000,5.608817,18.010434,6.965922,5.655032,-2.729217,-4.047514,0.616120
0.020000,5.700651,18.074503,7.077897,5.598748,-2.814207,-4.249461,0.602105
0.020000,5.792425,18.136611,7.188710,5.540684,-2.903224,-4.450863,0.587713
0.020000,5.884090,18.196718,7.298325,5.480760,-2.996155,-4.646557,0.572977
0.020000,5.975597,18.254790,7.406704,5.418905,-3.092781,-4.831301,0.557928
0.020000,6.066886,18.310798,7.513805,5.355049,-3.192779,-4.999922,0.542604
0.020000,6.157895,18.364718,7.619587,5.289135,-3.295729,-5.147466,0.527038
0.020000,6.248557,18.416529,7.724009,5.221112,-3.401116,-5.269343,0.511268
0.020000,6.338800,18.466220,7.827028,5.150945,-3.508345,-5.361492,0.495332
0.020000,6.428548,18.513783,7.928601,5.078610,-3.616755,-5.420501,0.479266
0.020000,6.517722,18.559217,8.028683,5.004098,-3.725631,-5.443759,0.463109
0.020000,6.606243,18.602527,8.127231,4.927413,-3.834221,-5.429526,0.446899
0.020000,6.694028,18.643727,8.224202,4.848578,-3.941761,-5.377003,0.430672
0.020000,6.780992,18.682833,8.319555,4.767628,-4.047488,-5.286347,0.414466
0.020000,6.867053,18.719871,8.413247,4.684615,-4.150662,-5.158688,0.398317
0.020000,6.952126,18.754871,8.505239,4.599603,-4.250582,-4.996000,0.382259
0.020000,7.036131,18.787870,8.595493,4.512671,-4.346603,-4.801073,0.366326
0.020000,7.118985,18.818911,8.683971,4.423908,-4.438152,-4.577425,0.350550
0.020000,7.200612,18.848039,8.770639,4.333414,-4.524732,-4.328988,0.334960
0.020000,7.280935,18.875308,8.855465,4.241295,-4.605936,-4.060234,0.319586
