dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.962385,9.379933,4.280765,6.099597,5.180293,-21.467441,5.749142
0.020000,4.068822,9.316920,4.404456,6.184554,4.247871,-46.621118,5.748272
0.020000,4.176317,9.253201,4.529418,6.248078,3.176190,-53.584064,5.748031
0.020000,4.284361,9.189166,4.655012,6.279703,1.581263,-79.746348,5.748422
0.020000,4.392475,9.125194,4.780634,6.281123,0.070978,-75.514218,5.749438
0.020000,4.500340,9.061561,4.905870,6.261797,-0.966321,-51.864982,5.751064
0.020000,4.607670,8.998520,5.030345,6.223734,-1.903135,-46.840668,5.753277
0.020000,4.714347,8.936222,5.153881,6.176796,-2.346874,-22.186962,5.756056
0.020000,4.820381,8.874731,5.276454,6.128675,-2.406055,-2.959038,5.759378
0.020000,4.925781,8.814113,5.398043,6.079404,-2.463586,-2.876569,5.763225
0.020000,5.030553,8.754427,5.518623,6.029009,-2.519754,-2.808386,5.767577
0.020000,5.134700,8.695728,5.638173,5.977512,-2.574832,-2.753917,5.772415
0.020000,5.238226,8.638070,5.756672,5.924930,-2.629081,-2.712463,5.777719
0.020000,5.341128,8.581503,5.874097,5.871275,-2.682746,-2.683227,5.783472
0.020000,5.443403,8.526071,5.990428,5.816554,-2.736052,-2.665322,5.789654
0.020000,5.545047,8.471820,6.105644,5.760770,-2.789208,-2.657771,5.796247
0.020000,5.646050,8.418789,6.219722,5.703922,-2.842398,-2.659522,5.803233
0.020000,5.746401,8.367015,6.332642,5.646006,-2.895787,-2.669445,5.810592
0.020000,5.846087,8.316532,6.444382,5.587016,-2.949514,-2.686364,5.818307
0.020000,5.945092,8.267370,6.554921,5.526942,-3.003695,-2.709031,5.826359
0.020000,6.043398,8.219559,6.664237,5.465774,-3.058418,-2.736157,5.834728
0.020000,6.140982,8.173121,6.772307,5.403499,-3.113747,-2.766431,5.843395
0.020000,6.237822,8.128080,6.879109,5.340105,-3.169717,-2.798507,5.852341
0.020000,6.333892,8.084453,6.984620,5.275578,-3.226338,-2.831048,5.861546
0.020000,6.429163,8.042256,7.088818,5.209906,-3.283592,-2.862720,5.870990
0.020000,6.523606,8.001501,7.191680,5.143077,-3.341437,-2.892226,5.880653
0.020000,6.617189,7.962196,7.293182,5.075081,-3.399803,-2.918317,5.890515
0.020000,6.709877,7.924348,7.393300,5.005909,-3.458599,-2.939814,5.900555
0.020000,6.801636,7.887958,7.492011,4.935555,-3.517712,-2.955630,5.910753
0.020000,6.892428,7.853026,7.589291,4.864015,-3.577008,-2.964783,5.921088
0.020000,6.982216,7.819548,7.685117,4.791288,-3.636336,-2.966417,5.931539
0.020000,7.070959,7.787516,7.779465,4.717377,-3.695532,-2.959821,5.942086
0.020000,7.158619,7.756920,7.872310,4.642289,-3.754421,-2.944429,5.952709
0.020000,7.245155,7.727747,7.963631,4.566033,-3.812818,-2.919848,5.963386
0.020000,7.330525,7.699981,8.053403,4.488622,-3.870535,-2.885837,5.974099
0.020000,7.414689,7.673600,8.141605,4.410074,-3.927382,-2.842346,5.984826
0.020000,7.497606,7.648585,8.228213,4.330411,-3.983171,-2.789463,5.995550
0.020000,7.579235,7.624908,8.313206,4.249657,-4.037720,-2.727467,6.006250
0.020000,7.659535,7.602545,8.396563,4.167839,-4.090855,-2.656763,6.016908
0.020000,7.738468,7.581463,8.478263,4.084991,-4.142413,-2.577900,6.027507
0.020000,7.815995,7.561632,8.558286,4.001146,-4.192244,-2.491549,6.038029
0.020000,7.892078,7.543017,8.636613,3.916342,-4.240214,-2.398491,6.048458
0.020000,7.966680,7.525582,8.713225,3.830618,-4.286205,-2.299562,6.058776
0.020000,8.039767,7.509291,8.788105,3.744016,-4.330119,-2.195680,6.068970
0.020000,8.111304,7.494104,8.861237,3.656578,-4.371875,-2.087816,6.079024
0.020000,8.181259,7.479980,8.932604,3.568350,-4.411413,-1.976904,6.088926
0.020000,8.249602,7.466879,9.002191,3.479376,-4.448693,-1.863962,6.098661
0.020000,8.316304,7.454758,9.069985,3.389702,-4.483690,-1.749887,6.108217
0.020000,8.381337,7.443575,9.135973,3.299374,-4.516403,-1.635637,6.117584
0.020000,8.444676,7.433287,9.200142,3.208437,-4.546845,-1.522068,6.126751
0.020000,8.506296,7.423851,9.262480,3.116936,-4.575044,-1.409979,6.135707
0.020000,8.566176,7.415222,9.322979,3.024915,-4.601046,-1.300095,6.144445
0.020000,8.624295,7.407358,9.381627,2.932417,-4.624909,-1.193135,6.152955
0.020000,8.680634,7.400216,9.438417,2.839483,-4.646701,-1.089591,6.161230
0.020000,8.735175,7.393754,9.493340,2.746153,-4.666501,-0.990044,6.169263
0.020000,8.787904,7.387928,9.546389,2.652465,-4.684399,-0.894880,6.177048
0.020000,8.838805,7.382699,9.597558,2.558455,-4.700487,-0.804405,6.184579
0.020000,8.887866,7.378026,9.646841,2.464158,-4.714866,-0.718929,6.191851
0.020000,8.935075,7.373869,9.694233,2.369605,-4.727638,-0.638622,6.198861
0.020000,8.980423,7.370189,9.739730,2.274827,-4.738910,-0.563590,6.205603
0.020000,9.023899,7.366951,9.783327,2.179851,-4.748788,-0.493886,6.212074
0.020000,9.065497,7.364117,9.825021,2.084704,-4.757378,-0.429537,6.218273
0.020000,9.105209,7.361654,9.864809,1.989408,-4.764788,-0.370459,6.224195
0.020000,9.143029,7.359528,9.902689,1.893986,-4.771119,-0.316574,6.229838
0.020000,9.178952,7.357706,9.938658,1.798456,-4.776474,-0.267767,6.235202
0.020000,9.212973,7.356159,9.972715,1.702837,-4.780951,-0.223825,6.240284
0.020000,9.245090,7.354857,10.004858,1.607144,-4.784642,-0.184578,6.245083
0.020000,9.275298,7.353774,10.035086,1.511391,-4.787640,-0.149861,6.249598
0.020000,9.303596,7.352883,10.063397,1.415591,-4.790027,-0.119360,6.253827
0.020000,9.329981,7.352160,10.089792,1.319753,-4.791884,-0.092879,6.257772
0.020000,9.354452,7.351583,10.114270,1.223887,-4.793289,-0.070205,6.261430
0.020000,9.377008,7.351130,10.136830,1.128001,-4.794307,-0.050926,6.264803
0.020000,9.397647,7.350783,10.157472,1.032101,-4.795007,-0.035001,6.267888
0.020000,9.416369,7.350523,10.176196,0.936192,-4.795447,-0.021977,6.270687
